t,tube_x,tube_y,string_x,string_y,arm1_x,arm1_y,arm2_x,arm2_y
1.564733E0,1.015613E1,8.976150E0,3.956877E1,2.658428E0,4.106921E1,-3.115447E0,5.516691E1,-9.075117E0
1.598025E0,9.852525E0,8.952177E0,3.942640E1,2.800962E0,4.108533E1,-2.949612E0,5.533703E1,-8.535731E0
1.631317E0,9.774762E0,8.956219E0,3.929751E1,2.958155E0,4.108276E1,-2.761492E0,5.548469E1,-7.915301E0
1.664609E0,9.778520E0,8.951643E0,3.912797E1,3.131846E0,4.110905E1,-2.503144E0,5.570018E1,-7.121837E0
1.697901E0,9.560782E0,8.943494E0,3.890329E1,3.500267E0,4.113007E1,-2.203675E0,5.591070E1,-6.169439E0
1.731193E0,9.407427E0,9.096981E0,3.856813E1,3.793882E0,4.116563E1,-1.848824E0,5.611135E1,-5.052136E0
1.764486E0,9.164494E0,9.095421E0,3.830697E1,4.088031E0,4.117761E1,-1.441300E0,5.630874E1,-3.772850E0
1.797778E0,8.889394E0,9.093241E0,3.808336E1,4.308442E0,4.118295E1,-9.663311E-1,5.644746E1,-2.333467E0
1.831070E0,8.742453E0,8.944162E0,3.767366E1,4.675528E0,4.119160E1,-4.430041E-1,5.652650E1,-6.523852E-1
1.864362E0,8.470036E0,8.896322E0,3.718995E1,5.042079E0,4.120503E1,1.550788E-1,5.646638E1,1.338318E0
1.897654E0,8.191262E0,8.782369E0,3.659471E1,5.481833E0,4.117987E1,8.674863E-1,5.621908E1,3.810313E0
1.930947E0,7.936368E0,8.719471E0,3.611101E1,5.848384E0,4.111272E1,1.592832E0,5.568501E1,6.026717E0
1.964239E0,7.682894E0,8.621354E0,3.566484E1,6.141197E0,4.103462E1,2.329639E0,5.522709E1,7.947636E0
1.997531E0,7.505407E0,8.592802E0,3.525568E1,6.434277E0,4.097549E1,2.891784E0,5.468223E1,9.541327E0
2.030823E0,7.326422E0,8.573225E0,3.506960E1,6.580951E0,4.092442E1,3.204898E0,5.438516E1,1.034784E1
2.064115E0,7.276417E0,8.568900E0,3.503286E1,6.543682E0,4.091664E1,3.256780E0,5.431211E1,1.057726E1
2.097407E0,7.273751E0,8.566251E0,3.503233E1,6.617686E0,4.091662E1,3.218626E0,5.437700E1,1.046613E1
2.130700E0,7.279162E0,8.577278E0,3.503110E1,6.619770E0,4.091750E1,3.209864E0,5.438601E1,1.048047E1
2.163992E0,7.277345E0,8.572483E0,3.503213E1,6.622417E0,4.091467E1,3.204085E0,5.438818E1,1.047121E1
2.197284E0,7.276137E0,8.571296E0,3.503328E1,6.622011E0,4.091222E1,3.198522E0,5.438969E1,1.046711E1
2.230576E0,7.271434E0,8.569608E0,3.503289E1,6.621229E0,4.091225E1,3.192659E0,5.439169E1,1.046423E1
2.263868E0,7.270086E0,8.570088E0,3.503212E1,6.621163E0,4.090973E1,3.190423E0,5.439936E1,1.047110E1
2.297160E0,7.274138E0,8.574158E0,3.503209E1,6.620406E0,4.090854E1,3.189234E0,5.439860E1,1.046702E1
2.330453E0,7.271934E0,8.571722E0,3.503489E1,6.621750E0,4.090708E1,3.188809E0,5.439731E1,1.046641E1
2.363745E0,7.267871E0,8.570883E0,3.503714E1,6.622884E0,4.090350E1,3.194912E0,5.438981E1,1.046714E1
2.397037E0,7.268377E0,8.569678E0,3.503642E1,6.622370E0,4.090702E1,3.193663E0,5.439636E1,1.046209E1
2.430329E0,7.269361E0,8.570124E0,3.503580E1,6.621851E0,4.090492E1,3.192324E0,5.439749E1,1.046643E1
2.463621E0,7.117018E0,8.562383E0,3.503922E1,6.623573E0,4.090476E1,3.191814E0,5.439671E1,1.046436E1
2.496914E0,7.117018E0,8.562383E0,3.503769E1,6.622784E0,4.090363E1,3.190438E0,5.439616E1,1.046276E1
2.530206E0,7.117018E0,8.562383E0,3.503675E1,6.622459E0,4.090409E1,3.189814E0,5.439578E1,1.046167E1
2.563498E0,7.117018E0,8.562383E0,3.503541E1,6.621945E0,4.090585E1,3.189252E0,5.440665E1,1.046054E1
2.596790E0,7.116805E0,8.564027E0,3.504518E1,6.619900E0,4.091254E1,3.188964E0,5.440523E1,1.045814E1
2.630082E0,7.115912E0,8.563758E0,3.504238E1,6.619876E0,4.090980E1,3.188662E0,5.440782E1,1.045356E1
